mode,guidance_scale,negative_prompt,future_latent_slots,sigma_start,denoise_steps,target_latent_idx,target_latent_end,prev_latent_baseline_cos,prev_sequence_baseline_cos,noisy_input_cos,noisy_sequence_input_cos,latent_cos_pred_x0,latent_mse_pred_x0,sequence_cos_pred_x0,sequence_mse_pred_x0,cos_pred_x0_vs_baseline_diff,sequence_cos_pred_x0_vs_baseline_diff,hidden_cos
A0_noised_true_future,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,0,1,2,0.8280352354049683,0.8280352354049683,0.5692898035049438,0.5692898035049438,0.9552847146987915,0.1467573344707489,0.9552847146987915,0.1467573344707489,0.12724947929382324,0.12724947929382324,0.572938859462738
A0_noised_true_future,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.8,0,1,2,0.8280352354049683,0.8280352354049683,0.16951851546764374,0.16951851546764374,0.8363760709762573,0.3298798203468323,0.8363760709762573,0.3298798203468323,0.008340835571289062,0.008340835571289062,0.532833456993103
A0_noised_true_future,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,1.0,0,1,2,0.8280352354049683,0.8280352354049683,0.0010555833578109741,0.0010555833578109741,0.14577504992485046,0.46924617886543274,0.14577504992485046,0.46924617886543274,-0.6822601854801178,-0.6822601854801178,0.5076719522476196
A0_noised_true_future,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,2.0,0,1,2,0.8280352354049683,0.8280352354049683,-0.32631716132164,-0.32631716132164,-0.9112839698791504,1.576723337173462,-0.9112839698791504,1.576723337173462,-1.7393192052841187,-1.7393192052841187,0.47118234634399414
A0_noised_true_future,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,0,1,2,0.8280352354049683,0.8280352354049683,0.5686600208282471,0.5686600208282471,0.9457106590270996,0.14790986478328705,0.9457106590270996,0.14790986478328705,0.11767542362213135,0.11767542362213135,0.5732353925704956
A0_noised_true_future,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.8,0,1,2,0.8280352354049683,0.8280352354049683,0.17133890092372894,0.17133890092372894,0.8086808919906616,0.32534846663475037,0.8086808919906616,0.32534846663475037,-0.01935434341430664,-0.01935434341430664,0.5342103242874146
A0_noised_true_future,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,1.0,0,1,2,0.8280352354049683,0.8280352354049683,-0.0013579303631559014,-0.0013579303631559014,0.19319716095924377,0.4623732566833496,0.19319716095924377,0.4623732566833496,-0.6348380744457245,-0.6348380744457245,0.501030445098877
A0_noised_true_future,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,2.0,0,1,2,0.8280352354049683,0.8280352354049683,-0.32758912444114685,-0.32758912444114685,-0.8888243436813354,1.5650080442428589,-0.8888243436813354,1.5650080442428589,-1.7168595790863037,-1.7168595790863037,0.4669335186481476
A0_noised_true_future,5.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,0,1,2,0.8280352354049683,0.8280352354049683,0.5694094896316528,0.5694094896316528,0.928968071937561,0.15110959112644196,0.928968071937561,0.15110959112644196,0.10093283653259277,0.10093283653259277,0.5722469687461853
A0_noised_true_future,5.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.8,0,1,2,0.8280352354049683,0.8280352354049683,0.17143183946609497,0.17143183946609497,0.7528765201568604,0.3252486288547516,0.7528765201568604,0.3252486288547516,-0.07515871524810791,-0.07515871524810791,0.5348089337348938
A0_noised_true_future,5.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,1.0,0,1,2,0.8280352354049683,0.8280352354049683,0.0013434342108666897,0.0013434342108666897,0.1752094328403473,0.4640907943248749,0.1752094328403473,0.4640907943248749,-0.652825802564621,-0.652825802564621,0.5043946504592896
A0_noised_true_future,5.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,2.0,0,1,2,0.8280352354049683,0.8280352354049683,-0.3241760730743408,-0.3241760730743408,-0.8552426099777222,1.5442909002304077,-0.8552426099777222,1.5442909002304077,-1.6832778453826904,-1.6832778453826904,0.47139573097229004
A0_noised_true_future,7.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,0,1,2,0.8280352354049683,0.8280352354049683,0.5686968564987183,0.5686968564987183,0.9107892513275146,0.1552737057209015,0.9107892513275146,0.1552737057209015,0.08275401592254639,0.08275401592254639,0.5707230567932129
A0_noised_true_future,7.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.8,0,1,2,0.8280352354049683,0.8280352354049683,0.16971662640571594,0.16971662640571594,0.7013447880744934,0.3254249095916748,0.7013447880744934,0.3254249095916748,-0.12669044733047485,-0.12669044733047485,0.53336501121521
A0_noised_true_future,7.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,1.0,0,1,2,0.8280352354049683,0.8280352354049683,9.204173693433404e-05,9.204173693433404e-05,0.17403779923915863,0.46479684114456177,0.17403779923915863,0.46479684114456177,-0.6539974361658096,-0.6539974361658096,0.5035551190376282
A0_noised_true_future,7.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,2.0,0,1,2,0.8280352354049683,0.8280352354049683,-0.3283337950706482,-0.3283337950706482,-0.8200149536132812,1.5567601919174194,-0.8200149536132812,1.5567601919174194,-1.6480501890182495,-1.6480501890182495,0.472247838973999
