layer,source,target,test_loss,loss_improvement_vs_raw,xyz_rmse_m,xyz_rmse_improvement_vs_raw,time_to_contact_acc,time_to_contact_acc_delta_vs_raw,contact_acc,success_acc
6,raw_no_denoise,future,0.6991448283195496,0.0,0.1137170960505803,0.0,0.731250007947286,0.0,0.8270833611488342,0.9433333357175192
6,denoise_tau=0.900,future,0.905555534362793,-0.29523311577569417,0.1258821725845336,-0.10697667243052353,0.6541666746139526,-0.07708333333333339,0.7570833444595337,0.9425000111262004
6,denoise_tau=0.750,future,0.9198913931846618,-0.31573796432949985,0.1225929379463195,-0.0780519570407541,0.6291666666666667,-0.10208334128061936,0.7416666905085246,0.9408333381017048
6,denoise_tau=0.000,future,0.9330273787180584,-0.33452661154723,0.1261112848917643,-0.10899142935967324,0.6458333333333334,-0.08541667461395264,0.7537500222524007,0.9412500143051148
6,denoise_tau=0.450,future,0.9558138449986776,-0.3671185229189959,0.1249036888281504,-0.09837212843172155,0.625000003973643,-0.10625000397364304,0.7312500198682149,0.9412500143051148
6,denoise_tau=0.300,future,0.9728228330612184,-0.39144679851165565,0.1267886499563853,-0.11494801010387136,0.6145833412806193,-0.1166666666666667,0.7162500143051147,0.9412500143051148
6,denoise_tau=0.100,future,0.9881354014078776,-0.41334865307226815,0.1218532353639602,-0.07154719559283353,0.618750003973643,-0.11250000397364301,0.7129166801770528,0.9412500143051148
6,denoise_tau=0.600,future,0.99761483669281,-0.426907267683946,0.1241609384616216,-0.09184056552407902,0.6270833333333333,-0.10416667461395268,0.7195833683013916,0.9412500143051148
6,denoise_tau=0.200,future,1.0061541080474854,-0.4391211481401602,0.1223227649927139,-0.07567612294905846,0.6000000079472859,-0.1312500000000001,0.7087500174840291,0.9412500143051148
14,raw_no_denoise,future,0.7465729713439941,0.0,0.1176204353570938,0.0,0.7333333412806193,0.0,0.8350000182787577,0.9454166809717814
14,denoise_tau=0.200,future,0.8845791180928548,-0.18485285704948512,0.1088975956042607,0.07416092047568684,0.650000003973643,-0.08333333730697634,0.7441666801770528,0.9412500143051148
14,denoise_tau=0.450,future,0.8849517663319906,-0.18535200214773973,0.1053706725438436,0.1041465522216451,0.6770833412806193,-0.05625000000000002,0.7666666746139527,0.9416666746139526
14,denoise_tau=0.300,future,0.8945374091466268,-0.1981915277970276,0.112195618947347,0.04612137672571211,0.6541666746139526,-0.07916666666666672,0.7533333460489909,0.9412500143051148
14,denoise_tau=0.100,future,0.911199978987376,-0.22051027021111866,0.1085636059443155,0.0770004751749295,0.64375,-0.08958334128061929,0.7312500198682149,0.9412500143051148
14,denoise_tau=0.900,future,0.942734702428182,-0.262749575210383,0.1250779489676157,-0.06340321380278023,0.6416666706403097,-0.09166667064030964,0.7362500270207722,0.9412500143051148
14,denoise_tau=0.600,future,0.943729265530904,-0.2640817465330757,0.1122643907864888,0.045536683777305624,0.6729166666666667,-0.060416674613952615,0.7741666913032532,0.9412500143051148
14,denoise_tau=0.750,future,0.9439212481180826,-0.26433889833812035,0.1204580962657928,-0.024125577329176827,0.6333333373069763,-0.10000000397364306,0.7204166690508524,0.9412500143051148
14,denoise_tau=0.000,future,0.9742231766382852,-0.30492693150204864,0.1172740399837493,0.002945027131491587,0.6395833373069764,-0.09375000397364297,0.7275000174840291,0.9412500143051148
27,raw_no_denoise,future,0.7066572586695353,0.0,0.1227747897307078,0.0,0.7375,0.0,0.8362500111262003,0.9412500143051148
27,denoise_tau=0.750,future,0.8923614223798116,-0.2627924095195913,0.1329029401143392,-0.0824937302344099,0.6520833412806193,-0.08541665871938076,0.7475000341733297,0.9412500143051148
27,denoise_tau=0.900,future,0.906812838713328,-0.28324279923288015,0.1344751328229904,-0.09529923136456549,0.6916666746139526,-0.04583332538604745,0.7670833667119344,0.9412500143051148
27,denoise_tau=0.000,future,0.9121795654296876,-0.29083732493896836,0.1181230187416076,0.03788864961042335,0.6625000079472859,-0.07499999205271413,0.7504166960716248,0.9412500143051148
27,denoise_tau=0.100,future,0.9523080666859944,-0.3476236959328206,0.1216329266627629,0.0093004685281843,0.6333333333333333,-0.10416666666666674,0.7383333484331767,0.9412500143051148
27,denoise_tau=0.200,future,0.9737468083699544,-0.37796194183766557,0.1188568959633509,0.03191122359851184,0.6354166666666666,-0.10208333333333341,0.7450000166893005,0.9412500143051148
27,denoise_tau=0.300,future,0.9740925629933676,-0.37845122376206564,0.1270232965548833,-0.03460406516267813,0.6458333373069763,-0.0916666626930237,0.7429166952768962,0.9412500143051148
27,denoise_tau=0.600,future,0.9871780872344972,-0.3969687215738995,0.1263891180356343,-0.029438684544718905,0.65,-0.08750000000000002,0.7279166777928671,0.9412500143051148
27,denoise_tau=0.450,future,0.9982434749603272,-0.4126274975789227,0.1293192813793818,-0.053304849171630406,0.6375,-0.10000000000000009,0.7304166714350383,0.9412500143051148
